Time outerCorrector residual
0.0218 7 0.000524606
0.0218 8 0.000215211
0.0218 9 0.000129378
0.0218 10 1.95606e-06
0.022 1 0.469287
0.022 2 0.468841
0.022 3 0.0624054
0.022 4 0.0896419
0.022 5 0.0142937
0.022 6 0.00116646
0.022 7 0.000516673
0.022 8 0.000189076
0.022 9 8.62122e-05
0.0222 1 0.282898
0.0222 2 0.282642
0.0222 3 0.0534347
0.0222 4 0.0846897
0.0222 5 0.00927627
0.0222 6 0.00124275
0.0222 7 0.000440509
0.0222 8 0.000219816
0.0222 9 7.70254e-05
0.0224 1 0.157695
0.0224 2 0.157569
0.0224 3 0.0506681
0.0224 4 0.0777203
0.0224 5 0.00554212
0.0224 6 0.0011764
0.0224 7 0.000433766
0.0224 8 0.000231983
0.0224 9 3.23124e-05
0.0226 1 0.0568371
0.0226 2 0.0568202
0.0226 3 0.0529082
0.0226 4 0.0328034
0.0226 5 0.00142855
0.0226 6 0.000701122
0.0226 7 0.000340673
0.0226 8 0.00016029
0.0226 9 1.74606e-05
0.0228 1 0.0621515
0.0228 2 0.0621136
0.0228 3 0.0589871
0.0228 4 0.0373419
0.0228 5 0.00136822
0.0228 6 0.000763918
0.0228 7 0.000356267
0.0228 8 0.000148043
0.0228 9 2.13933e-05
0.023 1 0.188726
0.023 2 0.188617
0.023 3 0.0721824
0.023 4 0.114743
0.023 5 0.00149903
0.023 6 0.00101394
0.023 7 0.000369482
0.023 8 5.53995e-05
0.0232 1 0.389322
0.0232 2 0.389026
0.0232 3 0.0991108
